doc_id,WorkerId,worker_label
10,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
11,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
43,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
47,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
81,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
109,01a012aad7ebbd059fee4c08b5574a71c36aaf41,0
124,01a012aad7ebbd059fee4c08b5574a71c36aaf41,1
144,01a012aad7ebbd059fee4c08b5574a71c36aaf41,0
193,01a012aad7ebbd059fee4c08b5574a71c36aaf41,0
5,0338a3043a49731959171424072a99df6551d1fb,1
8,0338a3043a49731959171424072a99df6551d1fb,1
46,0338a3043a49731959171424072a99df6551d1fb,1
57,0338a3043a49731959171424072a99df6551d1fb,1
85,0338a3043a49731959171424072a99df6551d1fb,1
117,0338a3043a49731959171424072a99df6551d1fb,0
126,0338a3043a49731959171424072a99df6551d1fb,0
150,0338a3043a49731959171424072a99df6551d1fb,0
153,0338a3043a49731959171424072a99df6551d1fb,0
162,0338a3043a49731959171424072a99df6551d1fb,1
182,0338a3043a49731959171424072a99df6551d1fb,0
195,0338a3043a49731959171424072a99df6551d1fb,0
214,0338a3043a49731959171424072a99df6551d1fb,1
236,0338a3043a49731959171424072a99df6551d1fb,1
255,0338a3043a49731959171424072a99df6551d1fb,1
257,0338a3043a49731959171424072a99df6551d1fb,1
272,0338a3043a49731959171424072a99df6551d1fb,1
283,0338a3043a49731959171424072a99df6551d1fb,1
293,0338a3043a49731959171424072a99df6551d1fb,1
306,0338a3043a49731959171424072a99df6551d1fb,0
310,0338a3043a49731959171424072a99df6551d1fb,0
321,0338a3043a49731959171424072a99df6551d1fb,0
325,0338a3043a49731959171424072a99df6551d1fb,0
326,0338a3043a49731959171424072a99df6551d1fb,0
328,0338a3043a49731959171424072a99df6551d1fb,0
351,0338a3043a49731959171424072a99df6551d1fb,0
358,0338a3043a49731959171424072a99df6551d1fb,0
362,0338a3043a49731959171424072a99df6551d1fb,0
364,0338a3043a49731959171424072a99df6551d1fb,0
390,0338a3043a49731959171424072a99df6551d1fb,0
2,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
7,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
23,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
43,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
45,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
50,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
81,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
84,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
90,0350ccbfb23d1a149a2ba47480b595c1689c96aa,1
106,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
114,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
132,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
139,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
144,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
159,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
164,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
186,0350ccbfb23d1a149a2ba47480b595c1689c96aa,0
13,050bf297088566552312743c26f8ec409ccbeb56,1
21,050bf297088566552312743c26f8ec409ccbeb56,1
23,050bf297088566552312743c26f8ec409ccbeb56,1
37,050bf297088566552312743c26f8ec409ccbeb56,1
49,050bf297088566552312743c26f8ec409ccbeb56,1
58,050bf297088566552312743c26f8ec409ccbeb56,1
60,050bf297088566552312743c26f8ec409ccbeb56,1
75,050bf297088566552312743c26f8ec409ccbeb56,1
89,050bf297088566552312743c26f8ec409ccbeb56,1
92,050bf297088566552312743c26f8ec409ccbeb56,1
96,050bf297088566552312743c26f8ec409ccbeb56,1
99,050bf297088566552312743c26f8ec409ccbeb56,1
101,050bf297088566552312743c26f8ec409ccbeb56,0
130,050bf297088566552312743c26f8ec409ccbeb56,0
145,050bf297088566552312743c26f8ec409ccbeb56,0
152,050bf297088566552312743c26f8ec409ccbeb56,0
171,050bf297088566552312743c26f8ec409ccbeb56,0
181,050bf297088566552312743c26f8ec409ccbeb56,0
241,050bf297088566552312743c26f8ec409ccbeb56,1
286,050bf297088566552312743c26f8ec409ccbeb56,0
353,050bf297088566552312743c26f8ec409ccbeb56,0
214,06be75b297ac9091494e1c6dd9d8e7131ebf339e,1
236,06be75b297ac9091494e1c6dd9d8e7131ebf339e,1
255,06be75b297ac9091494e1c6dd9d8e7131ebf339e,1
278,06be75b297ac9091494e1c6dd9d8e7131ebf339e,1
284,06be75b297ac9091494e1c6dd9d8e7131ebf339e,1
301,06be75b297ac9091494e1c6dd9d8e7131ebf339e,0
306,06be75b297ac9091494e1c6dd9d8e7131ebf339e,0
