,WorkerId,sentence_id,sentence_label
0,-2517175569084723670,0,1
1,-335000986350837491,0,1
2,-364087149378772560,0,1
3,-364087149378772560,1,1
4,-364087149378772560,2,1
5,-364087149378772560,3,1
6,-364087149378772560,4,0
7,-364087149378772560,5,0
8,-364087149378772560,6,0
9,-2517175569084723670,1,1
10,-2517175569084723670,2,0
11,-2517175569084723670,3,0
12,-2517175569084723670,4,0
13,-2517175569084723670,5,0
14,-2517175569084723670,6,0
15,-335000986350837491,1,1
16,-335000986350837491,2,0
17,-335000986350837491,3,1
18,-335000986350837491,4,1
19,-335000986350837491,5,1
20,-335000986350837491,6,1
21,2382865054554713228,7,0
22,2382865054554713228,8,1
23,2382865054554713228,9,0
24,2382865054554713228,10,0
25,2382865054554713228,11,0
26,2382865054554713228,12,0
27,2382865054554713228,13,0
28,2382865054554713228,14,0
29,2382865054554713228,15,0
30,2382865054554713228,16,0
31,2382865054554713228,17,0
32,-335000986350837491,7,1
33,-335000986350837491,8,0
34,-335000986350837491,9,0
35,-335000986350837491,10,0
36,-335000986350837491,11,1
37,-335000986350837491,12,1
38,-335000986350837491,13,1
39,-335000986350837491,14,1
40,-335000986350837491,15,1
41,-335000986350837491,16,1
42,-335000986350837491,17,1
43,-364087149378772560,7,1
44,-364087149378772560,8,0
45,-364087149378772560,9,0
46,-364087149378772560,10,0
47,-364087149378772560,11,0
48,-364087149378772560,12,0
49,-364087149378772560,13,0
50,-364087149378772560,14,0
51,-364087149378772560,15,0
52,-364087149378772560,16,0
53,-364087149378772560,17,0
54,2382865054554713228,18,1
55,2382865054554713228,19,0
56,2382865054554713228,20,0
57,2382865054554713228,21,0
58,2382865054554713228,22,0
59,2382865054554713228,23,0
60,2382865054554713228,24,0
61,1699069300121877932,18,1
62,1699069300121877932,19,0
63,1699069300121877932,20,0
64,1699069300121877932,21,0
65,1699069300121877932,22,0
66,1699069300121877932,23,0
67,1699069300121877932,24,0
68,-2517175569084723670,18,0
69,-2517175569084723670,19,0
70,-2517175569084723670,20,0
71,-2517175569084723670,21,0
72,-2517175569084723670,22,0
73,-2517175569084723670,23,0
74,-2517175569084723670,24,1
75,-364087149378772560,25,0
76,-364087149378772560,26,1
77,-364087149378772560,27,1
78,-364087149378772560,28,1
79,-364087149378772560,29,1
80,-364087149378772560,30,0
81,-364087149378772560,31,1
82,-364087149378772560,32,1
83,-364087149378772560,33,1
84,-364087149378772560,34,1
85,-364087149378772560,35,1
86,-364087149378772560,36,0
87,-364087149378772560,37,0
88,-364087149378772560,38,0
89,-364087149378772560,39,0
90,-335000986350837491,25,1
91,-335000986350837491,26,0
92,-335000986350837491,27,0
93,-335000986350837491,28,0
94,-335000986350837491,29,1
95,-335000986350837491,30,0
96,-335000986350837491,31,0
97,-335000986350837491,32,0
98,-335000986350837491,33,1
99,-335000986350837491,34,1
100,-335000986350837491,35,0
101,-335000986350837491,36,1
102,-335000986350837491,37,0
103,-335000986350837491,38,0
104,-335000986350837491,39,0
105,-2517175569084723670,25,0
106,-2517175569084723670,26,0
107,-2517175569084723670,27,0
108,-2517175569084723670,28,0
109,-2517175569084723670,29,1
110,-2517175569084723670,30,0
111,-2517175569084723670,31,1
112,-2517175569084723670,32,1
113,-2517175569084723670,33,0
114,-2517175569084723670,34,0
115,-2517175569084723670,35,0
116,-2517175569084723670,36,0
117,-2517175569084723670,37,0
118,-2517175569084723670,38,0
119,-2517175569084723670,39,0
120,-335000986350837491,40,1
121,-335000986350837491,41,1
122,-2517175569084723670,40,1
123,-2517175569084723670,41,1
124,-364087149378772560,40,1
125,-364087149378772560,41,1
126,2382865054554713228,42,1
127,2382865054554713228,43,0
128,2382865054554713228,44,0
129,2382865054554713228,45,0
130,2382865054554713228,46,0
131,-2517175569084723670,42,1
132,-2517175569084723670,43,0
133,-2517175569084723670,44,0
134,-2517175569084723670,45,0
135,-2517175569084723670,46,0
136,6305556135528905705,42,0
137,6305556135528905705,43,0
138,6305556135528905705,44,0
139,6305556135528905705,45,0
140,6305556135528905705,46,0
141,-2517175569084723670,47,0
142,-2517175569084723670,48,0
143,-2517175569084723670,49,0
144,-335000986350837491,47,1
145,-335000986350837491,48,1
146,-335000986350837491,49,0
147,-364087149378772560,47,1
148,-364087149378772560,48,1
149,-364087149378772560,49,1
150,2266563893737398713,50,1
151,2266563893737398713,51,0
152,2266563893737398713,52,0
153,2266563893737398713,53,0
154,-335000986350837491,50,1
155,-335000986350837491,51,0
156,-335000986350837491,52,0
157,-335000986350837491,53,0
158,2585679631782667069,50,1
159,2585679631782667069,51,0
160,2585679631782667069,52,0
161,2585679631782667069,53,0
162,2382865054554713228,54,1
163,2382865054554713228,55,0
164,2382865054554713228,56,1
165,2382865054554713228,57,1
166,-335000986350837491,54,1
167,-335000986350837491,55,0
168,-335000986350837491,56,1
169,-335000986350837491,57,1
170,7394618247449885890,54,1
171,7394618247449885890,55,0
172,7394618247449885890,56,0
173,7394618247449885890,57,0
174,6305556135528905705,58,0
175,6305556135528905705,59,1
176,6305556135528905705,60,1
177,6305556135528905705,61,1
178,6305556135528905705,62,1
179,6305556135528905705,63,0
180,6305556135528905705,64,0
181,-2517175569084723670,58,1
182,-2517175569084723670,59,0
183,-2517175569084723670,60,0
184,-2517175569084723670,61,0
185,-2517175569084723670,62,0
186,-2517175569084723670,63,0
187,-2517175569084723670,64,0
188,2585679631782667069,58,1
189,2585679631782667069,59,0
190,2585679631782667069,60,0
191,2585679631782667069,61,0
192,2585679631782667069,62,0
193,2585679631782667069,63,0
194,2585679631782667069,64,0
195,7394618247449885890,65,1
196,7394618247449885890,66,0
197,7394618247449885890,67,0
198,7394618247449885890,68,0
199,-364087149378772560,65,0
200,-364087149378772560,66,1
201,-364087149378772560,67,1
202,-364087149378772560,68,1
203,-335000986350837491,65,1
204,-335000986350837491,66,1
205,-335000986350837491,67,0
206,-335000986350837491,68,0
207,-335000986350837491,69,1
208,-335000986350837491,70,0
209,-335000986350837491,71,0
210,-335000986350837491,72,0
211,-335000986350837491,73,0
212,-335000986350837491,74,1
213,-335000986350837491,75,0
214,-335000986350837491,76,0
215,-335000986350837491,77,0
216,-335000986350837491,78,0
217,2382865054554713228,69,1
218,2382865054554713228,70,0
219,2382865054554713228,71,0
220,2382865054554713228,72,0
221,2382865054554713228,73,0
222,2382865054554713228,74,0
223,2382865054554713228,75,0
224,2382865054554713228,76,0
225,2382865054554713228,77,0
226,2382865054554713228,78,0
227,-2517175569084723670,69,0
228,-2517175569084723670,70,0
229,-2517175569084723670,71,0
230,-2517175569084723670,72,0
231,-2517175569084723670,73,0
232,-2517175569084723670,74,0
233,-2517175569084723670,75,0
234,-2517175569084723670,76,0
235,-2517175569084723670,77,0
236,-2517175569084723670,78,0
237,-2517175569084723670,79,0
238,-2517175569084723670,80,0
239,-2517175569084723670,81,0
240,-2517175569084723670,82,0
241,-2517175569084723670,83,0
242,2585679631782667069,79,1
243,2585679631782667069,80,0
244,2585679631782667069,81,0
245,2585679631782667069,82,0
246,2585679631782667069,83,0
247,5531640727458925793,79,0
